0,334.11627259765623,5.287471276092529,1.01,3.49
1,278.1293181201172,4.953889581298828,2.73,11.54
2,244.21425413574218,3.977458645629883,12.92,36.67
3,228.09436286132814,3.6536993270874025,17.84,44.19
4,216.75937234375,3.394439846801758,23.27,52.24
5,209.59572366210938,3.3098392318725587,24.79,53.41
6,204.54839224609375,3.3110967872619628,25.07,52.35
7,200.26924298828126,2.986795001220703,31.05,60.78
8,197.2011381640625,2.9724043266296385,31.19,60.88
9,194.43455094726562,2.806516839599609,35.14,63.82
10,192.28101631347656,3.234773068237305,28.01,55.37
11,190.44937838378905,2.8419730228424074,35.34,63.25
12,188.91432213867188,2.840273963546753,35.29,63.21
13,187.59207220703124,2.85912952003479,34.6,63.31
14,186.34041359375,2.803169274520874,36.07,64.34
15,185.16454618652344,3.1084987911224364,31.26,57.93
16,184.11205504882813,2.7911829833984374,35.99,64.17
17,183.05142440429688,3.021940189361572,32.8,59.33
18,182.09559381347657,2.620184761810303,39.92,67.67
19,181.4370010205078,3.19585294342041,29.96,56.64
20,180.40781020507814,3.3573062545776367,26.65,52.71
21,179.72737826660156,2.628214250946045,39.8,67.4
22,178.83799869628905,2.7627205688476564,37.46,64.42
