0,6.290800288147872,4.409200040435791,5.19,17.44
1,5.66775688838104,3.768900624847412,12.35,35.56
2,5.425564333662944,3.7027877151489257,14.32,37.66
3,5.145382237648079,3.2376454181671144,21.24,50.56
4,4.836006702442633,2.9726379901885984,26.52,57.74
5,4.532499881773691,2.756667013168335,30.1,61.94
6,4.330733397248155,2.616510593032837,32.36,65.83
7,4.179256020373785,2.460887195968628,36.06,69.31
8,4.066986055899216,2.2683086143493654,40.4,73.56
9,3.990087273178882,2.3727915321350097,38.93,71.28
10,3.9299071427344057,2.2388889953613282,42.41,75.08
11,3.885519289634597,2.164022956085205,43.31,75.48
12,3.842831186997906,2.1371599033355713,43.75,76.18
13,3.8226736913722545,2.1508732831954958,43.4,75.61
14,3.792223335991443,2.0176335639953615,46.43,78.16
15,3.770333363976277,2.039181929016113,46.8,78.3
16,3.752936344903807,2.1856577087402345,42.56,75.07
17,3.7463980575835047,2.1438449314117434,43.97,74.69
18,3.724633309355771,2.088897805023193,45.66,76.63
19,3.7090529311786997,1.981689507293701,48.68,78.89
20,3.6960301170275853,2.01319616355896,47.14,78.57
21,3.6965841202974015,1.9607967166900635,48.12,79.86
22,3.6818894256245005,2.0817518157958985,45.28,76.44
23,3.67673036414133,2.044981315612793,46.89,77.29
24,3.6709411843332833,2.0915093362808226,45.6,76.91
25,3.6690392082082477,1.8786926948547362,49.94,80.85
26,3.6594137434159597,2.0519567750930787,46.01,76.86
27,3.658209326630518,1.9501260047912599,49.64,79.78
28,3.6323053220170105,2.0176958015441895,48.24,78.74
29,3.6381117274910784,1.9875556415557862,47.94,79.09
30,3.632074913203182,1.955108569908142,47.31,79.49
31,3.620433029841522,1.9373137105941773,49.06,80.48
32,3.624051023842278,2.1788512943267824,43.31,75.55
33,3.6206585005517193,1.9363506637573242,49.04,79.84
34,3.617083618796589,2.088307711029053,45.66,76.34
35,3.61831122964964,1.9409489366531372,48.62,79.99
36,3.6217396976700513,2.0662091663360598,47.01,77.63
37,3.6012890729647746,2.149166261291504,43.66,74.58
38,3.601755474349448,1.9478709987640381,48.65,79.39
39,3.594169842906859,1.984959489440918,47.81,79.23
40,3.590929373888902,2.008968030548096,47.91,79.16
41,3.5900777005966127,1.8025005840301513,52.81,82.53
42,3.5903223037109178,1.9824052452087402,48.36,78.64
43,3.579063461318364,1.9118980266571044,49.3,79.5
44,3.5957850607042885,1.9965746986389161,48.45,78.88
45,3.578519507345866,2.11467508392334,44.61,76.97
46,3.5844619957951975,2.0235570835113523,47.09,79.66
47,3.5897162128502216,2.027175499343872,47.25,77.53
48,3.5718092222372486,2.9584065284729,32.52,63.19
49,3.5876405498587673,1.9136312618255615,50.16,80.9
50,3.573224048761033,1.9794170417785644,48.88,78.71
51,3.5801147910910593,2.180595602416992,43.66,74.35
52,3.5782924092228066,1.949090877532959,49.54,79.26
53,3.5720821617507448,1.8738958906173706,50.39,81.27
54,3.5708335428933937,2.084258913421631,46.48,76.72
