0,3.47
1,19.94
2,33.17
3,39.75
4,48.4
5,52.07
6,54.21
7,58.31
8,58.22
9,58.76
10,61.56
11,61.77
12,61.98
13,63.6
14,62.9
15,64.76
16,65.33
17,64.64
18,65.97
19,65.48
20,66.28
21,66.99
22,67.53
23,67.26
24,66.63
25,66.57
26,68.82
27,68.3
28,67.84
29,67.27
30,68.47
31,67.86
32,67.9
33,68.96
34,67.83
35,68.57
36,69.09
37,68.25
38,68.84
39,67.82
40,69.11
41,69.06
42,69.62
43,69.65
44,69.35
45,69.42
46,69.3
47,66.74
48,69.96
49,70.03
50,69.03
51,68.34
52,70.29
53,67.68
54,67.6
55,70.56
56,69.82
57,70.22
58,70.88
59,69.42
60,70.24
61,68.81
62,70.39
63,69.63
64,69.89
65,70.48
66,69.06
67,68.54
68,69.82
69,68.69
70,70.59
71,69.66
72,69.69
73,69.87
74,70.12
75,70.13
76,70.28
77,70.45
78,69.93
79,71.62
80,70.51
81,70.06
82,68.34
83,67.93
84,71.55
85,69.68
86,69.98
87,69.46
88,70.75
89,69.92
90,68.73
91,71.05
92,71.1
93,71.33
94,70.57
95,71.38
96,71.89
97,70.61
98,70.17
99,70.3
100,72.1
101,71.91
102,71.83
103,70.94
104,70.54
105,71.64
106,68.46
107,70.41
108,71.58
109,71.01
110,70.47
111,72.2
112,70.58
113,69.2
114,71.56
115,70.66
116,71.52
117,70.6
118,70.38
119,71.68
120,70.27
121,70.06
122,71.05
123,70.08
124,68.59
125,70.89
126,71.34
127,70.24
128,71.25
129,68.56
130,70.95
131,71.42
132,71.99
133,70.68
134,70.72
135,71.19
136,70.63
137,70.73
138,70.37
139,71.58
140,69.92
141,71.29
142,71.6
143,71.4
144,71.51
145,71.54
146,70.6
147,71.75
148,70.23
149,78.43
150,79.13
151,79.66
152,79.68
153,79.99
154,80.23
155,80.02
156,80.11
157,80.4
158,80.67
159,80.79
160,80.68
161,81.02
162,81.21
163,81.13
164,80.87
165,80.8
166,80.88
167,80.77
168,81.02
169,81.1
170,81.17
171,81.17
172,80.78
173,81.25
174,81.73
175,80.99
176,80.91
177,80.88
178,81.37
179,82.29
180,82.4
181,82.41
182,82.74
183,82.58
184,82.63
185,82.81
186,82.73
187,82.7
188,82.86
189,82.69
190,82.86
191,82.82
192,82.95
193,82.88
194,82.62
195,82.77
196,82.67
197,82.92
198,82.69
199,82.81
200,82.88
201,82.8
202,82.9
203,82.92
204,82.7
205,82.87
206,82.94
207,82.86
208,83.0
209,82.97
210,83.05
211,83.05
212,83.23
213,83.01
214,83.11
215,83.17
216,82.88
217,83.1
218,83.06
219,83.03
220,83.07
221,82.91
222,83.13
223,82.94
224,83.13
225,83.19
226,83.09
227,83.08
228,83.05
229,82.96
230,83.12
231,82.85
232,83.1
233,82.99
234,83.07
235,83.17
236,83.01
237,83.04
238,82.92
239,83.02
